# Prioritization file for auxiliary-exoplanet
# Version: 1.0.1
# Updated by: system
# Updated on: 2026-05-08 16:36:20
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Transits Requested
# Column 5: Number of Transits Observed
# Column 6: Number of Transits Remaining
rank,target,priority,transits_req,transits_obs,transits_rem
0,55_Cnce,0.9,4.0,0.0,4.0
1,HD_213885b,0.8875,4.0,0.0,4.0
2,EPIC-212813907b,0.875,1.0,0.0,1.0
3,TOI-561b,0.8625,4.0,0.0,4.0
4,TOI-1408b,0.85,1.0,0.0,1.0
5,GJ_486b,0.8375,6.0,0.0,6.0
6,TOI-1130b,0.825,1.0,0.0,1.0
7,TOI-1130c,0.8125,1.0,0.0,1.0
8,IRAS_04125+2902b,0.8,1.0,0.0,1.0
9,TOI-3235b,0.7875,1.0,0.0,1.0
10,TOI-3757b,0.775,1.0,0.0,1.0
11,TOI-1860b,0.7625,4.0,0.0,4.0
12,GJ_806b,0.75,4.0,0.0,4.0
13,TOI-1634b,0.7375,4.0,0.0,4.0
14,TOI-431b,0.725,4.0,0.0,4.0
15,TOI-4527b,0.7125,4.0,0.0,4.0
16,K2-141b,0.7,4.0,0.0,4.0
17,L_98-59b,0.6875,6.0,0.0,6.0
18,TOI-500b,0.675,4.0,0.0,4.0
19,TOI-5349b,0.6625,1.0,0.0,1.0
20,HD_20329b,0.65,4.0,0.0,4.0
21,GJ_367b,0.6375,4.0,0.0,4.0
22,HD_3167b,0.625,4.0,0.0,4.0
23,TOI-519b,0.6125,1.0,0.0,1.0
24,TOI-7189b,0.6,1.0,0.0,1.0
25,WASP-79b,0.5875,4.0,0.0,4.0
26,K2-33b,0.575,1.0,0.0,1.0
27,TOI-1027b,0.5625,1.0,0.0,1.0
28,TOI-1027c,0.55,1.0,0.0,1.0
29,TOI-1027d,0.5375,1.0,0.0,1.0
30,WASP-84b,0.525,1.0,0.0,1.0
31,WASP-132b,0.5125,1.0,0.0,1.0
32,HATS-75b,0.5,1.0,0.0,1.0
33,TOI-5671b,0.4875,1.0,0.0,1.0
34,TOI-7149b,0.475,1.0,0.0,1.0
35,TOI-5205b,0.4625,1.0,0.0,1.0
36,TOI-1899b,0.45,1.0,0.0,1.0
37,TOI-7265b,0.4375,1.0,0.0,1.0
38,TOI-6034b,0.425,1.0,0.0,1.0
39,TOI-5293_Ab,0.4125,1.0,0.0,1.0
40,HATS-6b,0.4,1.0,0.0,1.0
41,TOI-6894b,0.3875,1.0,0.0,1.0
42,TOI-3714b,0.375,1.0,0.0,1.0
43,LTT_3780b,0.3625,4.0,0.0,4.0
44,HD_93963_Ab,0.35,4.0,0.0,4.0
45,KELT-11b,0.3375,1.0,0.0,1.0
46,TOI-700b,0.325,4.0,0.0,4.0
47,TOI-700d,0.3125,5.0,0.0,5.0
48,TOI-700c,0.3,4.0,0.0,4.0
