# Prioritization file for exoplanet
# Version: 1.0.1
# Updated by: Joe P. Renaud
# Updated on: 2026-05-08 16:47:41
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Transits Requested
# Column 5: Number of Transits Observed
# Column 6: Number of Transits Remaining
rank,target,priority,transits_req,transits_obs,transits_rem
0,WASP-107b,0.9,10.0,0.0,10.0
1,WASP-52b,0.891176,10.0,0.0,10.0
2,WASP-80b,0.882353,10.0,0.0,10.0
3,TOI-3884b,0.873529,10.0,0.0,10.0
4,WASP-69b,0.864706,10.0,0.0,10.0
5,TOI-942b,0.855882,10.0,0.0,10.0
6,TOI-244b,0.847059,10.0,0.0,10.0
7,GJ_3090b,0.838235,10.0,0.0,10.0
8,GJ_3470b,0.829412,10.0,0.0,10.0
9,HAT-P-11b,0.820588,10.0,0.0,10.0
10,HAT-P-12b,0.811765,10.0,0.0,10.0
11,HAT-P-18b,0.802941,10.0,0.0,10.0
12,HAT-P-26b,0.794118,10.0,0.0,10.0
13,L_98-59c,0.785294,10.0,0.0,10.0
14,TOI-2076b,0.776471,10.0,0.0,10.0
15,TOI-270d,0.767647,10.0,0.0,10.0
16,TOI-674b,0.758824,10.0,0.0,10.0
17,TOI-942c,0.75,10.0,0.0,10.0
18,HD_73583b,0.741176,10.0,0.0,10.0
19,TOI-3629b,0.732353,10.0,0.0,10.0
20,55_Cnce,0.723529,4.0,0.0,4.0
21,HD_213885b,0.714706,4.0,0.0,4.0
22,EPIC-212813907b,0.705882,1.0,0.0,1.0
23,TOI-561b,0.697059,4.0,0.0,4.0
24,TOI-1408b,0.688235,1.0,0.0,1.0
25,GJ_486b,0.679412,6.0,0.0,6.0
26,TOI-1130b,0.670588,1.0,0.0,1.0
27,TOI-1130c,0.661765,1.0,0.0,1.0
28,IRAS_04125+2902b,0.652941,1.0,0.0,1.0
29,TOI-3235b,0.644118,1.0,0.0,1.0
30,TOI-3757b,0.635294,1.0,0.0,1.0
31,TOI-1860b,0.626471,4.0,0.0,4.0
32,GJ_806b,0.617647,4.0,0.0,4.0
33,TOI-1634b,0.608824,4.0,0.0,4.0
34,TOI-431b,0.6,4.0,0.0,4.0
35,TOI-4527b,0.591176,4.0,0.0,4.0
36,K2-141b,0.582353,4.0,0.0,4.0
37,L_98-59b,0.573529,6.0,0.0,6.0
38,TOI-500b,0.564706,4.0,0.0,4.0
39,TOI-5349b,0.555882,1.0,0.0,1.0
40,HD_20329b,0.547059,4.0,0.0,4.0
41,GJ_367b,0.538235,4.0,0.0,4.0
42,HD_3167b,0.529412,4.0,0.0,4.0
43,TOI-519b,0.520588,1.0,0.0,1.0
44,TOI-7189b,0.511765,1.0,0.0,1.0
45,WASP-79b,0.502941,4.0,0.0,4.0
46,K2-33b,0.494118,1.0,0.0,1.0
47,TOI-1027b,0.485294,1.0,0.0,1.0
48,TOI-1027c,0.476471,1.0,0.0,1.0
49,TOI-1027d,0.467647,1.0,0.0,1.0
50,WASP-84b,0.458824,1.0,0.0,1.0
51,WASP-132b,0.45,1.0,0.0,1.0
52,HATS-75b,0.441176,1.0,0.0,1.0
53,TOI-5671b,0.432353,1.0,0.0,1.0
54,TOI-7149b,0.423529,1.0,0.0,1.0
55,TOI-5205b,0.414706,1.0,0.0,1.0
56,TOI-1899b,0.405882,1.0,0.0,1.0
57,TOI-7265b,0.397059,1.0,0.0,1.0
58,TOI-6034b,0.388235,1.0,0.0,1.0
59,TOI-5293_Ab,0.379412,1.0,0.0,1.0
60,HATS-6b,0.370588,1.0,0.0,1.0
61,TOI-6894b,0.361765,1.0,0.0,1.0
62,TOI-3714b,0.352941,1.0,0.0,1.0
63,LTT_3780b,0.344118,4.0,0.0,4.0
64,HD_93963_Ab,0.335294,4.0,0.0,4.0
65,KELT-11b,0.326471,1.0,0.0,1.0
66,TOI-700b,0.317647,4.0,0.0,4.0
67,TOI-700d,0.308824,5.0,0.0,5.0
68,TOI-700c,0.3,4.0,0.0,4.0
