# Prioritization file for occultation-standard
# Version: 1.0.1
# Updated by: Joe P. Renaud
# Updated on: 2026-05-08 17:00:15
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
0,GJ_3090,0.9,600.0,0.0,600.0
1,TOI-3884,0.899888,600.0,0.0,600.0
2,TOI-244,0.899776,600.0,0.0,600.0
3,HAT-P-12,0.899664,600.0,0.0,600.0
4,TOI-270,0.899553,600.0,0.0,600.0
5,L_98-59,0.899441,600.0,0.0,600.0
6,TOI-2076,0.899329,600.0,0.0,600.0
7,HAT-P-26,0.899217,600.0,0.0,600.0
8,HAT-P-18,0.899105,600.0,0.0,600.0
9,WASP-107,0.898993,600.0,0.0,600.0
10,WASP-80,0.898881,600.0,0.0,600.0
11,WASP-69,0.89877,600.0,0.0,600.0
12,TOI-942,0.898658,600.0,0.0,600.0
13,TOI-3629,0.898546,600.0,0.0,600.0
14,TOI-674,0.898434,600.0,0.0,600.0
15,TOI-500,0.898322,600.0,0.0,600.0
16,GJ_3470,0.89821,600.0,0.0,600.0
17,HD_73583,0.898098,600.0,0.0,600.0
18,HAT-P-11,0.897987,600.0,0.0,600.0
19,WASP-52,0.897875,600.0,0.0,600.0
20,TOI-1408,0.897763,600.0,0.0,600.0
21,TOI-1130,0.897651,600.0,0.0,600.0
22,TOI-561,0.897539,600.0,0.0,600.0
23,EPIC-212813907,0.897427,600.0,0.0,600.0
24,TRAPPIST-1,0.897315,600.0,0.0,600.0
25,GJ_486,0.897204,600.0,0.0,600.0
26,55_Cnc,0.897092,600.0,0.0,600.0
27,TOI-700,0.89698,600.0,0.0,600.0
28,HD_213885,0.896868,600.0,0.0,600.0
29,TOI-1634,0.896756,600.0,0.0,600.0
30,HD_20329,0.896644,600.0,0.0,600.0
31,GJ_411,0.896532,600.0,0.0,600.0
32,HIP_18327,0.896421,600.0,0.0,600.0
33,WASP-43,0.896309,600.0,0.0,600.0
34,Wolf_940,0.896197,600.0,0.0,600.0
35,TOI-7189,0.896085,600.0,0.0,600.0
36,WASP-6,0.895973,600.0,0.0,600.0
37,GJ_94,0.895861,600.0,0.0,600.0
38,WASP-79,0.895749,600.0,0.0,600.0
39,WASP-132,0.895638,600.0,0.0,600.0
40,TOI-4527,0.895526,600.0,0.0,600.0
41,TOI-3714,0.895414,600.0,0.0,600.0
42,TW_Hya,0.895302,600.0,0.0,600.0
43,HATS-75,0.89519,600.0,0.0,600.0
44,TOI-5349,0.895078,600.0,0.0,600.0
45,TOI-6034,0.894966,600.0,0.0,600.0
46,BZ_Cet,0.894855,600.0,0.0,600.0
47,KIC_8462852,0.894743,600.0,0.0,600.0
48,AO_Men,0.894631,600.0,0.0,600.0
49,TOI-3235,0.894519,600.0,0.0,600.0
50,LP_738-14,0.894407,600.0,0.0,600.0
51,SCR_J1845-6357,0.894295,600.0,0.0,600.0
52,HD_285773,0.894183,600.0,0.0,600.0
53,TOI-3757,0.894072,600.0,0.0,600.0
54,TOI-5205,0.89396,600.0,0.0,600.0
55,BD+30_2512,0.893848,600.0,0.0,600.0
56,TOI-5293_A,0.893736,600.0,0.0,600.0
57,KIC_7955255,0.893624,600.0,0.0,600.0
58,AD_Leo,0.893512,600.0,0.0,600.0
59,GJ_806,0.8934,600.0,0.0,600.0
60,GJ_338_A,0.893289,600.0,0.0,600.0
61,TOI-7265,0.893177,600.0,0.0,600.0
62,TOI-1027,0.893065,600.0,0.0,600.0
63,TOI-1860,0.892953,600.0,0.0,600.0
64,GJ_876,0.892841,600.0,0.0,600.0
65,WASP-84,0.892729,600.0,0.0,600.0
66,GJ_338_B,0.892617,600.0,0.0,600.0
67,IRAS_04125+2902,0.892506,600.0,0.0,600.0
68,HD_189733,0.892394,600.0,0.0,600.0
69,HD_3167,0.892282,600.0,0.0,600.0
70,TYC_1766-1431-1,0.89217,600.0,0.0,600.0
71,GJ_380,0.892058,600.0,0.0,600.0
72,AF_Psc,0.891946,600.0,0.0,600.0
73,K2-141,0.891834,600.0,0.0,600.0
74,TOI-5671,0.891723,600.0,0.0,600.0
75,TOI-6894,0.891611,600.0,0.0,600.0
76,TOI-7149,0.891499,600.0,0.0,600.0
77,TOI-519,0.891387,600.0,0.0,600.0
78,BD+20_1790,0.891275,600.0,0.0,600.0
79,TOI-1899,0.891163,600.0,0.0,600.0
80,CE_Ant,0.891051,600.0,0.0,600.0
81,TOI-431,0.89094,600.0,0.0,600.0
82,GJ_367,0.890828,600.0,0.0,600.0
83,K2-33,0.890716,600.0,0.0,600.0
84,GJ_673,0.890604,600.0,0.0,600.0
85,HIP_106231,0.890492,600.0,0.0,600.0
86,HATS-6,0.89038,600.0,0.0,600.0
87,HD_240629,0.890268,600.0,0.0,600.0
88,TOI-4201,0.890157,600.0,0.0,600.0
89,TOI-6303,0.890045,600.0,0.0,600.0
90,SS_Cygni,0.889933,600.0,0.0,600.0
